model_name,feature_set,case_mae,case_rmse,case_mape
Ridge,VIB_FT_RPM,0.3104284226636119,0.424340962657792,7.091657203424022
LinearRegression,RPM_ONLY,0.41043624812505736,0.5312811440995894,9.213404644947085
Ridge,VIB_FT,0.45068881309248315,0.8163015352748241,13.535506116853929
HistGradientBoostingRegressor,VIB_FT,0.5057242872477052,0.9362438646647168,15.415275557681618
HistGradientBoostingRegressor,VIB_FT_RPM,0.5290247829965529,0.7789814358135267,14.328368382047726
RandomForestRegressor,VIB_FT,0.5454724928824587,0.8753862125386582,15.626926940541539
RandomForestRegressor,VIB_FT_RPM,0.5844929553132197,0.798818514700589,15.246109041938693
